c_{A0}                        ;Q_{1}                         ;T_{1}                         ;L                             ;c_{A}                         ;c_{B}                         ;T_{2}                         ;Q_{5}                         ;Q_{4}                         ;T_{3}                         ;\mathrm{PCW}                  ;\mathrm{CNT}_{1}              ;\mathrm{CNT}_{3}=SP_{Q_{5}}   ;\mathrm{CNT}_{2}              ;\mathrm{INV\ CON}             ;\mathrm{CW\ DP\ CON}          ;\mathrm{EFFL\ DP\ CON}        ;\mathrm{MOLBAL\ CON}          ;     CLASS
    0.20000E+02;    0.25000E+00;    0.30000E+02;    0.20000E+01;    0.28500E+01;    0.17110E+02;    0.80000E+02;    0.90000E+00;    0.25000E+00;    0.20000E+02;    0.56250E+05;    0.25300E+02;    0.40700E+02;    0.90000E+00;    0.00000E+00;    0.00000E+00;    0.00000E+00;    0.00000E+00; normal    
    0.20028E+02;    0.24970E+00;    0.30014E+02;    0.19984E+01;    0.28329E+01;    0.17268E+02;    0.79868E+02;    0.90304E+00;    0.24838E+00;    0.20306E+02;    0.55209E+05;    0.24763E+02;    0.40597E+02;    0.89813E+00;   -0.18124E-02;    0.14188E-01;    0.43298E-03;    0.33522E+00; normal    
    0.20086E+02;    0.25077E+00;    0.30060E+02;    0.20022E+01;    0.28604E+01;    0.17144E+02;    0.80021E+02;    0.89815E+00;    0.25347E+00;    0.19795E+02;    0.56563E+05;    0.25321E+02;    0.40652E+02;    0.89921E+00;    0.41335E-02;   -0.28398E-02;    0.30084E-02;    0.16896E+00; normal    
    0.20105E+02;    0.24694E+00;    0.29889E+02;    0.20039E+01;    0.28829E+01;    0.16987E+02;    0.79877E+02;    0.90497E+00;    0.24873E+00;    0.20126E+02;    0.55972E+05;    0.25130E+02;    0.40932E+02;    0.90946E+00;    0.70288E-02;    0.21140E-02;   -0.88286E-03;   -0.17106E+00; normal    
    0.19908E+02;    0.24958E+00;    0.30020E+02;    0.19908E+01;    0.28599E+01;    0.17140E+02;    0.80036E+02;    0.90719E+00;    0.24790E+00;    0.20058E+02;    0.55763E+05;    0.25262E+02;    0.40954E+02;    0.90466E+00;   -0.12472E-01;    0.55096E-02;   -0.22681E-02;   -0.17998E+00; normal    
    0.19857E+02;    0.25286E+00;    0.30193E+02;    0.19856E+01;    0.28385E+01;    0.17162E+02;    0.80156E+02;    0.90775E+00;    0.25105E+00;    0.19951E+02;    0.55948E+05;    0.25104E+02;    0.40876E+02;    0.90212E+00;   -0.20409E-01;    0.64076E-02;    0.15991E-02;   -0.33101E+00; normal    
    0.19639E+02;    0.25050E+00;    0.30199E+02;    0.20089E+01;    0.28117E+01;    0.17078E+02;    0.79889E+02;    0.89961E+00;    0.25298E+00;    0.20322E+02;    0.55713E+05;    0.25325E+02;    0.40790E+02;    0.89783E+00;    0.15890E-01;    0.21895E-02;    0.24808E-02;    0.60018E-01; normal    
    0.20000E+02;    0.24729E+00;    0.30149E+02;    0.19951E+01;    0.28455E+01;    0.17066E+02;    0.80117E+02;    0.89958E+00;    0.24961E+00;    0.19955E+02;    0.55924E+05;    0.25548E+02;    0.40845E+02;    0.90060E+00;   -0.43835E-02;   -0.84134E-03;   -0.18537E-02;   -0.27642E+00; normal    
    0.20131E+02;    0.25226E+00;    0.30151E+02;    0.19840E+01;    0.28521E+01;    0.17271E+02;    0.79813E+02;    0.89805E+00;    0.24872E+00;    0.19866E+02;    0.56669E+05;    0.25145E+02;    0.40571E+02;    0.90160E+00;   -0.21479E-01;   -0.18645E-02;   -0.90996E-03;    0.75160E-02; normal    
    0.19906E+02;    0.25348E+00;    0.29807E+02;    0.19992E+01;    0.28372E+01;    0.17095E+02;    0.80173E+02;    0.90476E+00;    0.25168E+00;    0.19975E+02;    0.56506E+05;    0.25261E+02;    0.40683E+02;    0.89648E+00;    0.63272E-03;    0.34984E-02;    0.14853E-02;   -0.11635E+00; normal    
    0.19797E+02;    0.24688E+00;    0.29884E+02;    0.20005E+01;    0.28725E+01;    0.16837E+02;    0.80131E+02;    0.90053E+00;    0.24782E+00;    0.20064E+02;    0.56646E+05;    0.25261E+02;    0.40728E+02;    0.90047E+00;    0.24019E-02;   -0.29229E-02;   -0.23711E-02;   -0.74485E+00; normal    
    0.19793E+02;    0.24794E+00;    0.30030E+02;    0.19908E+01;    0.28409E+01;    0.17197E+02;    0.80010E+02;    0.90498E+00;    0.24858E+00;    0.20239E+02;    0.55851E+05;    0.24865E+02;    0.40697E+02;    0.89896E+00;   -0.12266E-01;    0.86236E-02;    0.19599E-03;   -0.34352E-01; normal    
    0.19661E+02;    0.25341E+00;    0.29932E+02;    0.19999E+01;    0.28347E+01;    0.17247E+02;    0.79730E+02;    0.90135E+00;    0.25392E+00;    0.19940E+02;    0.56096E+05;    0.24870E+02;    0.40755E+02;    0.90085E+00;    0.12948E-02;    0.16573E-02;    0.54874E-02;    0.36949E+00; normal    
    0.20113E+02;    0.24769E+00;    0.30015E+02;    0.20021E+01;    0.28228E+01;    0.17111E+02;    0.79643E+02;    0.89942E+00;    0.25213E+00;    0.19899E+02;    0.56413E+05;    0.25305E+02;    0.40692E+02;    0.89350E+00;    0.52441E-02;   -0.13230E-02;    0.17389E-02;   -0.65029E-02; normal    
    0.19842E+02;    0.24836E+00;    0.29895E+02;    0.19878E+01;    0.28483E+01;    0.16810E+02;    0.80130E+02;    0.90016E+00;    0.24633E+00;    0.19900E+02;    0.55710E+05;    0.25011E+02;    0.40552E+02;    0.90239E+00;   -0.16562E-01;    0.83450E-02;   -0.27114E-02;   -0.12652E+01; normal    
    0.20365E+02;    0.25043E+00;    0.30107E+02;    0.20110E+01;    0.28621E+01;    0.16929E+02;    0.79943E+02;    0.90040E+00;    0.25103E+00;    0.20118E+02;    0.56225E+05;    0.25179E+02;    0.40514E+02;    0.89444E+00;    0.18575E-01;    0.53618E-02;    0.11772E-02;   -0.16920E+00; normal    
    0.20312E+02;    0.25059E+00;    0.30026E+02;    0.20047E+01;    0.28705E+01;    0.16768E+02;    0.79884E+02;    0.89387E+00;    0.25316E+00;    0.20085E+02;    0.55704E+05;    0.25451E+02;    0.40660E+02;    0.90006E+00;    0.92722E-02;   -0.44019E-03;    0.21086E-02;   -0.80785E+00; normal    
    0.19745E+02;    0.24906E+00;    0.29833E+02;    0.19862E+01;    0.28521E+01;    0.17456E+02;    0.80296E+02;    0.90031E+00;    0.24760E+00;    0.20142E+02;    0.56261E+05;    0.24964E+02;    0.40531E+02;    0.89976E+00;   -0.18996E-01;    0.45656E-02;   -0.12237E-02;    0.62468E+00; normal    
    0.19931E+02;    0.25281E+00;    0.29991E+02;    0.20056E+01;    0.28573E+01;    0.17036E+02;    0.80217E+02;    0.90122E+00;    0.24768E+00;    0.19899E+02;    0.56179E+05;    0.25062E+02;    0.40635E+02;    0.89797E+00;    0.11126E-01;    0.37001E-02;   -0.16302E-02;   -0.51590E-02; normal    
    0.20049E+02;    0.24744E+00;    0.30117E+02;    0.19936E+01;    0.28408E+01;    0.16785E+02;    0.79965E+02;    0.89558E+00;    0.24801E+00;    0.20037E+02;    0.56464E+05;    0.25143E+02;    0.40793E+02;    0.89763E+00;   -0.68101E-02;   -0.79424E-02;   -0.16346E-02;   -0.11615E+01; normal    
    0.20210E+02;    0.25079E+00;    0.30018E+02;    0.19915E+01;    0.28614E+01;    0.17364E+02;    0.80049E+02;    0.90033E+00;    0.25399E+00;    0.19851E+02;    0.56373E+05;    0.25164E+02;    0.40595E+02;    0.90113E+00;   -0.10755E-01;    0.22026E-02;    0.42549E-02;    0.56808E+00; normal    
    0.19887E+02;    0.25153E+00;    0.30159E+02;    0.20066E+01;    0.28709E+01;    0.17035E+02;    0.79714E+02;    0.85625E+00;    0.24974E+00;    0.20036E+02;    0.56731E+05;    0.25305E+02;    0.43885E+02;    0.90053E+00;    0.11804E-01;   -0.12210E+00;   -0.66915E-03;    0.73626E-01; 17        
