                      $c_{A0}$;                       $Q_{1}$;                       $T_{1}$;                           $L$;                       $c_{A}$;                       $c_{B}$;                       $T_{2}$;                       $Q_{5}$;                       $Q_{4}$;                       $T_{3}$;                       $h_{7}$;                       $u_{1}$;                 $u_{3}=m_{2}$;                       $u_{2}$;                       $r_{1}$;                       $r_{2}$;                       $r_{3}$;                       $r_{4}$;                         CLASS
    0.20000E+02;    0.25000E+00;    0.30000E+02;    0.20000E+01;    0.28500E+01;    0.17110E+02;    0.80000E+02;    0.90000E+00;    0.25000E+00;    0.20000E+02;    0.56250E+05;    0.25300E+02;    0.40700E+02;    0.90000E+00;    0.00000E+00;    0.00000E+00;    0.00000E+00;    0.00000E+00;normal
    0.20250E+02;    0.24911E+00;    0.29678E+02;    0.19896E+01;    0.28465E+01;    0.17337E+02;    0.80175E+02;    0.89761E+00;    0.24964E+00;    0.19966E+02;    0.56306E+05;    0.25189E+02;    0.40749E+02;    0.90340E+00;   -0.15403E-01;   -0.36279E-02;   -0.19922E-03;    0.30605E+00;normal
    0.20050E+02;    0.24942E+00;    0.30192E+02;    0.19842E+01;    0.28232E+01;    0.17178E+02;    0.79744E+02;    0.90219E+00;    0.25223E+00;    0.20212E+02;    0.56269E+05;    0.24941E+02;    0.40321E+02;    0.90138E+00;   -0.23401E-01;    0.11351E-01;    0.35142E-02;   -0.40161E+00;normal
    0.19976E+02;    0.25022E+00;    0.29825E+02;    0.20064E+01;    0.28533E+01;    0.17179E+02;    0.80245E+02;    0.89562E+00;    0.24484E+00;    0.20041E+02;    0.55207E+05;    0.24833E+02;    0.41136E+02;    0.90270E+00;    0.10312E-01;   -0.57904E-02;   -0.34434E-02;    0.36598E+00;normal
    0.20066E+02;    0.25103E+00;    0.30093E+02;    0.19866E+01;    0.28145E+01;    0.17209E+02;    0.80157E+02;    0.89581E+00;    0.25312E+00;    0.19971E+02;    0.55574E+05;    0.25179E+02;    0.41032E+02;    0.90146E+00;   -0.18824E-01;   -0.61717E-02;    0.33288E-02;   -0.22922E+00;normal
    0.20170E+02;    0.25360E+00;    0.30258E+02;    0.20009E+01;    0.28426E+01;    0.17133E+02;    0.80075E+02;    0.90052E+00;    0.24720E+00;    0.19780E+02;    0.57143E+05;    0.24450E+02;    0.40919E+02;    0.91164E+00;    0.19941E-02;   -0.11412E-01;    0.66810E-03;    0.32815E-01;normal
    0.20073E+02;    0.25119E+00;    0.30174E+02;    0.20002E+01;    0.28695E+01;    0.17294E+02;    0.79888E+02;    0.90480E+00;    0.24729E+00;    0.19861E+02;    0.56066E+05;    0.25224E+02;    0.40969E+02;    0.90486E+00;    0.10345E-03;    0.31412E-03;   -0.27345E-02;    0.56176E+00;normal
    0.19962E+02;    0.25217E+00;    0.30079E+02;    0.20182E+01;    0.28520E+01;    0.17045E+02;    0.79781E+02;    0.89424E+00;    0.25362E+00;    0.20058E+02;    0.56468E+05;    0.25291E+02;    0.40791E+02;    0.90122E+00;    0.26803E-01;   -0.92766E-02;    0.32442E-02;    0.28638E+00;normal
    0.19839E+02;    0.24656E+00;    0.30167E+02;    0.19850E+01;    0.28399E+01;    0.16997E+02;    0.80020E+02;    0.90763E+00;    0.24845E+00;    0.19800E+02;    0.56390E+05;    0.24807E+02;    0.40742E+02;    0.89871E+00;   -0.23110E-01;    0.58983E-02;    0.33947E-03;   -0.88536E+00;normal
    0.20003E+02;    0.24949E+00;    0.29974E+02;    0.19985E+01;    0.28582E+01;    0.16889E+02;    0.79951E+02;    0.89169E+00;    0.24726E+00;    0.20136E+02;    0.56295E+05;    0.25170E+02;    0.40585E+02;    0.89673E+00;   -0.33853E-02;   -0.55982E-02;   -0.25205E-02;   -0.76021E+00;normal
    0.20356E+02;    0.24866E+00;    0.30010E+02;    0.19996E+01;    0.28433E+01;    0.17115E+02;    0.79862E+02;    0.90078E+00;    0.24888E+00;    0.19597E+02;    0.56691E+05;    0.25332E+02;    0.40567E+02;    0.89288E+00;   -0.12666E-02;    0.77905E-03;   -0.16228E-02;   -0.87644E-01;normal
    0.19991E+02;    0.25030E+00;    0.30111E+02;    0.19876E+01;    0.28381E+01;    0.17104E+02;    0.80121E+02;    0.89745E+00;    0.25105E+00;    0.20184E+02;    0.56200E+05;    0.25325E+02;    0.40701E+02;    0.90023E+00;   -0.19263E-01;   -0.17978E-02;    0.60616E-03;   -0.50884E+00;normal
    0.19862E+02;    0.25076E+00;    0.30107E+02;    0.20161E+01;    0.28580E+01;    0.17048E+02;    0.79921E+02;    0.90184E+00;    0.25087E+00;    0.20052E+02;    0.56754E+05;    0.25483E+02;    0.39980E+02;    0.89577E+00;    0.23084E-01;    0.15225E-01;   -0.35587E-03;    0.22275E+00;normal
